feature,importance_gain
rolling_mean_56,482120.97668528557
historical_same_slot_mean,316899.37560606
rolling_std_56,138222.30878162384
historical_region_mean,52315.94910669327
region,48471.32150006294
slot,30136.155083417892
days_since_start,10056.166318416595
slot_sin,6281.2645518779755
lag_1,6254.755734205246
doy_sin,3282.1472125053406
doy_cos,3171.8842685222626
rolling_mean_8,2855.8854382038116
lag_8,1878.3540587425232
lag_16,1576.2670583724976
lag_2,1138.7931051254272
dow,1064.475882768631
lag_112,1016.1488399505615
slot_cos,905.9804494380951
dow_sin,743.8563230037689
month,731.4940121173859
lag_56,653.2984051704407
dow_cos,387.0869240760803
quarter,37.42371940612793
is_weekend,29.26182985305786
