약물번호,한글명,영문명,분류/구분,이화학정보,남용정보,약물정보
T12,페닐프로파놀아민,Phenylpropanolamine,기타,"생체내이용률은 거의 100%이며, 간에서 norephedrine으로 대사된다.  반감기는 4.6-6.6 시간이며 주로 미변화체로서(80-90%) 뇨를 통해 배설된다.","고혈압, 심계항진, 불면, 초조, 어지러움(dizziness), 구갈, 오심, 흉부 압박감, 서맥, 부정맥, 협심증, 중증의 두통, 불안, 신경과민, 초조,  배뇨곤란",
T11,노르슈도에페드린,Norpseudoephedrine,기타,,"신경과민, 운동항진, 불면",
T10,사이로빈 버섯,Psilocybin Mushrooms,기타,,,"이 버섯은 불법적인 마약이나 술과 함께 하거나 단독으로 할 수 있다. 버섯의 갓과 즐기는 신선한 상태나 말린 상태로 먹기도 하며 쓴맛 때문에 가루로 빻아서 캡슐에 넣어 복용하기도 한다. 차로 끓여서 사용하기도 하며 종종 다른 음식에 첨가하여 먹기도 하는데, 어떤 사용자들은 말린 이 버섯을 마리화나와 함께 담배로 피우기도 한다"
T09,날부핀,Nalbuphine,향정신성의약품,,,"염산날부핀은 앰플의 형태로 판매되고 있어 피하, 근육 및 정맥주사의 형태로 투약되는데 상용량은 70kg인 사람을 기준으로 할 때 1회 10mg을 3-6시간마다 주사하나 남용자의 경우에는 상용량의 20배를 투약하여 중추신경 억제와 환각성의 발현을 도모하고 있다."
T08,카트,Khat,기타,,,
T06,GHB,GHB,기타,,,"GHB 는 거리에서 액체나 분말 상태로 쉽게 구할 수 있고 보다 일반적으로 이용되고 있는 것은 액체상태이다. GHB를 정제와 캅셀화 하고 있다는 보고 있다. 1회분 가격은 $5~10 정도이며, 주로 분말, 캡슐 또는 물, 탄산음료, 이온음료, 술 등의 액체와 혼합하여 복용하거나 드물게 주사하기도 하며, 일회용량으로 분말 1～3g을 복용한다고 한다."
T05,카리소프로돌,Carisoprodol,향정신성의약품,,,
T04,덱스트로메토르판,Dextromethorphan,향정신성의약품,,,"정제형태로 되어 있어 경구로 남용하는데, 보통 남용자의 경우 덱스트로메토르판을 15mg함유하고 있는 정제를 30~40정 정도로 복용하며 내성이 쉽게 발현되어 상습 남용자는 100여정까지도 복용하게 된다."
T03,아편,Opium,마약,,,"헤로인과 모르핀은 주로 주사로 복용 되나 아편과 같이 흡연하기도 하고 코점막으로 흡입하기도 하는 반면, 아편은 흡연하거나 코점막을 통해 snort한다. Codeine, Oxycodone과 hydrocodone은 경구로 투여되나 다른 opioid는 주사로 투여된다."
T02,4-메칠치오암페타민,4-methylthioamphetamine,기타,,,
T01,메칠펜타닐,Methylfentanyl,기타,,,통상 정맥주사로 투여하지만 연기로 흡입하기도 한다고 한다.
P99,브롬디에칠아세칠우레아,Bromdiethylacetylurea,향정신성의약품,,,
P98,아릴이소프로필아세칠우레아,Allylisopropylacetylurea,향정신성의약품,,,
P97,펜타조신,Pentazocine,향정신성의약품,"단백결합률은 60%이며, 초회통과효과가 크고, 간에서 산화, glucuronide 포합으로 대사된다. 반감기는 2-3 시간, 간기능이 저하된 경우 연장되며, 소량은 미변화체로 뇨로 배설된다.","근신경 및 골격계 쇠약, 오심, 구토, 쾌감, 졸음, 시야몽롱, 요관경련, 저혈압, 구갈, 권태, 두통, 초조, 악몽, 피부발진, 호흡곤란, 내분비계 및 대사로 항이뇨호르몬(ADH) 분비, 눈의 축동, 심계항진, 서맥, 말초혈관확장, 위장장애, 변비, 불면, 중추신경계 억제, 진정, 환각, 혼동, 방향감 상실, 발작(경련의 소인이 있는 환자), 뇌압상승, 피부소양증, 담도경련, 요도경련, histamine 유리, 육체적, 정신적 의존성",
P96,썰폰메탄,Sulfonmethane,향정신성의약품,,,
P95,썰폰에칠메탄,Sulfonethylmethane,향정신성의약품,,,
P94,썰폰디에칠메탄,Sulfondiethylmethane,향정신성의약품,,,
P93,메치푸리론,Methyprylon,향정신성의약품,,,
P92,메프로바메이트,Meprobamate,향정신성의약품,,,
P91,리저직산 아미드,Lysergic acid amide,향정신성의약품,,,
P90,리저직산,Lysergic acid,향정신성의약품,,,
P89,구루테치미드,Glutethimide,향정신성의약품,,,
P88,크로로헥사돌,Chlorhexadol,향정신성의약품,,,
P87,치아미랄,Thiamylal,향정신성의약품,,"오심, 근육의 불수의 운동, 부정맥, 타액분비 과다, 두통, 현기증, 경련, 흥분, 기침, 딸꾹질, 발한, 안면홍조, 복시, 마비감, 쇼크",
P86,엘도랄,Eldoral,향정신성의약품,,,
P85,펜테날,Pentenal,향정신성의약품,,,
P84,시그모달,Sigmodal,향정신성의약품,,,
P83,카르부바르비탈,Carbubarbital,향정신성의약품,,,
P82,비닐비탈,Vinylbital,향정신성의약품,,,
P81,레포살,Reposal,향정신성의약품,,,
P80,이도부탈,Idobutal,향정신성의약품,,,
P79,도르모비트,Dormovit,향정신성의약품,,,
P78,디베랄,Diberal,향정신성의약품,,,
P77,바로타룸,Barotalum,향정신성의약품,,,
P76,빈바르비탈,Vinbarbital,향정신성의약품,,,
P75,치오펜탈,Thiopental,향정신성의약품,,,
P74,테트라바르비탈,Tetrabarbital,향정신성의약품,,,
P73,스피로치오바르비탈,Spirothionbarbital,향정신성의약품,,,
P72,프로필바르비탈,Propylbarbital,향정신성의약품,,,
P71,프로파리로날,Propallylonal,향정신성의약품,,,
P70,프로바르비탈,Probarbital,향정신성의약품,,,
P69,페타아비탈,Phetharbital,향정신성의약품,,,
P68,페노바르비탈,Phenobarbital,향정신성의약품,"경구투여시  70-90%가 흡수되며 단백결합률은  20-45%이다. 간에서 hydroxylation되고 glucuronide 포합되는데 반감기는 신생아가 45-500 시간,  영아가 20-133 시간, 소아가 37-73 시간, 성인이 53-140 시간이며 혈중최고농도 도달시간은  경구투여시 1-6 시간 이내이다. 20-50%가 소변으로 미변화된 형태로  배설된다.","주사부위 통증, 정맥주사시 혈전성 정맥염, 저혈압, 심부정맥, 서맥, 동맥경련, 부주의하게 동맥내 투여된 경우 괴저(gangrene) 발생, 어지러움(dizziness), 현기증(lightheadedness), 숙취
(hangover effect), 졸음, 기면, 중추신경계 흥분 또는 억제, 판단력 저하, 오심, 구토, 변비, 혼동, 의식저하, 비정상적인 흥분, 신경과민, 기절감, 두통, 불면, 악몽, 저혈압, 환각, 저체온증, 박탈성 피부염(exfoliative dermatitis), Stevens-Johnson 증후군, 피부발진, 무과립구증, 거대적아구성 빈혈, 혈소판감소증, 후두경련, 호흡저하, 무호흡 (특히 빠르게 정맥주사할 경우)",
P67,펜토바르비탈,Pentobarbital,향정신성의약품,"단백결합은 35-55%이며, 간에서 hydroxylation, oxidation으로 많은 양이 대사된다. 반감기는 소아는 25시간, 정상 성인은 25시간 (35-50 시간)이며  1% 미만이 소변으로 미변화 배설된다.","주사부위 통증, 정맥주사시 혈전성 정맥염, 심부정맥, 서맥, 저혈압, 동맥경련, 부주의하게 동맥내 투여된 경우 괴저(gangrene) 발생, 졸음, 기면, 중추신경계 흥분 또는 억제, 판단력 저하, 숙취(hangover effect), 오심, 구토, 변비, 혼동, 의식저하, 비정상적인 흥분, 신경과민, 기절감, 두통, 불면, 악몽, 저체온증, 혈전성 정맥염, 저혈압, 환각, 피부발진, 박탈성 피부염(exfoliative dermatitis), Stevens-Johnson 증후군, 무과립구증, 혈소판감소증, 거대적아구성 빈혈, 후두경련, 호흡저하, 무호흡 (특히 빠르게 정맥주사할 경우)",
P66,네알바르비탈,Nealbarbital,향정신성의약품,,,
P65,니아코바르비탈,Narcobarbital,향정신성의약품,,,
P64,메칠페노바르비탈,Methylphenobarbital,향정신성의약품,,,
P63,메토헥시탈,Methohexital,향정신성의약품,,,
P62,메타아비탈,Metharbital,향정신성의약품,,,
P61,헥소바르비탈,Hexobarbital,향정신성의약품,,,
P60,헥세탈,Hexethal,향정신성의약품,,,
P59,헵토바르비탈,Heptobarbital,향정신성의약품,,,
P58,헵타바르비탈,Heptabarbital,향정신성의약품,,,
P57,에트아로바르비탈,Ethallobarbital,향정신성의약품,,,
P56,엔아릴푸로피말,Enallylpropymal,향정신성의약품,,,
P55,싸이크로펜토바르비탈,Cyclopentobarbital,향정신성의약품,,,
P54,싸이크로바르비탈,Cyclobarbital,향정신성의약품,,,
P53,부토바르비탈,Butobarbital,향정신성의약품,,,
P52,부타리로날,Butallylonal,향정신성의약품,,,
P51,부탈비탈,Butalbital,향정신성의약품,,,
P50,섹부타바르비탈,Secbutabarbital,향정신성의약품,,,
P49,부라로바르비탈,Brallobarbital,향정신성의약품,,,
P48,바르비탈,Barbital,향정신성의약품,,,
P47,아프로바르비탈,Aprobarbital,향정신성의약품,,,
P46,아모바르비탈,Amobarbital,향정신성의약품,,"어지러움(dizziness), 현기증(lightheadedness), 숙취 (hangover effect), 졸음, 중추신경계 억제, 발열, 오심, 구토, 변비, 혼동, 의식저하, 비정상적인 흥분, 신경과민, 기절감, 두통, 불면, 악몽, 혈전성 정맥염, 저혈압, 환각, 피부발진, 박탈성 피부염(exfoliative dermatitis), Stevens-Johnson 증후군, 무과립구증, 거대적아구성 빈혈, 혈소판감소증, 호흡저하, 무호흡, 후두경련",
